Tahun,Bulan,Curah_Hujan,Suhu,Produksi
2015,1,202,30.4,5.31
2015,2,120,25.2,5.17
2015,3,174,27.7,5.14
2015,4,230,24.2,6.54
2015,5,101,29.8,4.26
2015,6,269,24.4,6.89
2015,7,287,26.9,7.12
2015,8,150,27.1,5.22
2015,9,163,27.7,5.41
2015,10,172,24.5,6.27
2015,11,231,31.5,4.59
2015,12,189,24.8,6.47
2016,1,183,25.9,6.13
2016,2,107,24.3,5.89
2016,3,180,26.1,5.41
2016,4,233,25.7,6.72
2016,5,103,25.5,5.36
2016,6,299,28.6,6.53
2016,7,289,26.6,6.33
2016,8,152,28.7,4.77
2016,9,287,28.3,6.5
2016,10,164,24.1,5.9
2016,11,108,30.2,4.42
2016,12,262,30.3,6.02
2017,1,222,24.6,6.25
2017,2,234,30.8,5.29
2017,3,111,26.6,4.93
2017,4,136,29.8,4.47
2017,5,203,26.2,5.38
2017,6,274,29.7,6.32
2017,7,100,29.8,4.01
2017,8,126,28.2,4.57
2017,9,114,24.9,4.95
2017,10,195,29.1,5.25
2017,11,151,28.5,4.77
2017,12,242,30.0,5.74
2018,1,135,31.5,4.73
2018,2,127,31.4,4.43
2018,3,144,26.4,5.34
2018,4,207,25.5,5.88
2018,5,129,31.1,4.04
2018,6,289,24.9,7.01
2018,7,220,29.2,5.3
2018,8,254,27.3,6.12
2018,9,264,29.5,5.66
2018,10,158,26.6,5.22
2018,11,195,28.5,5.26
2018,12,285,31.7,5.67
2019,1,138,28.0,4.66
2019,2,180,26.1,5.48
2019,3,101,28.0,4.55
2019,4,229,28.2,5.93
2019,5,259,28.4,5.88
2019,6,283,25.9,6.9
2019,7,137,26.9,5.6
2019,8,238,30.5,5.89
2019,9,243,30.7,5.2
2019,10,192,30.9,4.78
2019,11,286,25.8,7.17
2019,12,247,29.2,6.02
2020,1,151,31.5,4.53
2020,2,203,25.1,5.47
2020,3,284,24.9,7.3
2020,4,189,31.9,4.35
2020,5,159,26.1,5.87
2020,6,108,26.2,5.08
2020,7,246,29.8,5.88
2020,8,174,31.5,5.01
2020,9,263,31.2,5.68
2020,10,192,26.3,5.65
2020,11,209,28.4,5.93
2020,12,268,25.4,7.2
2021,1,167,25.9,6.04
2021,2,227,30.0,5.23
2021,3,294,29.3,6.03
2021,4,214,29.1,5.57
2021,5,121,26.0,5.2
2021,6,281,31.2,5.86
2021,7,126,30.4,5.21
2021,8,291,30.9,5.96
2021,9,160,28.0,5.65
2021,10,116,32.0,4.09
2021,11,257,31.6,5.38
2021,12,136,31.4,4.49
2022,1,145,31.7,4.05
2022,2,260,26.5,6.04
2022,3,227,27.0,6.4
2022,4,166,28.6,5.05
2022,5,123,25.7,4.95
2022,6,226,28.1,6.25
2022,7,229,26.6,6.31
2022,8,269,30.5,6.33
2022,9,198,26.0,5.75
2022,10,234,28.0,6.0
2022,11,272,25.6,6.76
2022,12,241,31.1,5.18
2023,1,242,27.0,6.27
2023,2,185,26.6,5.47
2023,3,285,28.3,6.59
2023,4,185,26.0,5.37
2023,5,269,30.6,5.51
2023,6,107,30.2,4.14
2023,7,207,29.0,6.19
2023,8,154,25.1,6.27
2023,9,243,31.8,4.66
2023,10,244,27.2,6.26
2023,11,118,27.5,4.65
2023,12,157,31.3,5.0
2024,1,210,28.1,5.9
2024,2,195,27.0,5.4
2024,3,275,29.1,6.3
2024,4,190,27.2,5.5
2024,5,250,29.3,5.7
2024,6,120,29.5,4.8
2024,7,220,28.7,6.0
2024,8,165,26.2,6.1
2024,9,255,30.9,5.0
2024,10,230,28.0,6.2
2024,11,140,28.7,4.7
2024,12,170,30.8,5.3
